0,963474
0,974414
1,19518
0,991345
1,55211
1,45317
1,59747
3,44529
1,50734
1,27807
1,33288
1,53437
1,07251
1,24274
1,02921
1,88896
1,47993
1,122
1,31921
0,974039
1,45892
1,7182
6,19487
2,36649
3,67715
4,79098
3,97824
3,96005
6,75454
7,30602
5,6024
8,55491
5,65632
6,64692
1,27022
1,66636
1,32233
1,58946
1,81175
2,119
1,95412
1,58411
1,56645
1,53183
1,5948
1,68558
1,894
1,95338
2,34181
2,53062
2,5987
2,79718
6,84484
7,85722
3,46684
8,73567
9,72853
9,29419
8,8403
9,00679
12,63
11,1692
10,8007
12,1486
11,9501
12,7504
10,0516
10,4713
12,9649
11,0864
10,731
14,1528
12,6486
9,85564
10,7707
9,99245
11,9541
10,0626
9,00259
11,1254
9,58698
10,1964
12,3616
10,4478
10,5244
